policy_training_condition,policy_training_seed,evaluation_seed,damage_leg,damage_alpha,episode_return,episode_length,terminated_before_time_limit,forward_distance,mean_forward_speed,mean_abs_raw_command_actuator_0,mean_abs_raw_command_actuator_1,mean_abs_raw_command_actuator_2,mean_abs_raw_command_actuator_3,mean_abs_raw_command_actuator_4,mean_abs_raw_command_actuator_5,mean_abs_raw_command_actuator_6,mean_abs_raw_command_actuator_7,mean_abs_applied_command_actuator_0,mean_abs_applied_command_actuator_1,mean_abs_applied_command_actuator_2,mean_abs_applied_command_actuator_3,mean_abs_applied_command_actuator_4,mean_abs_applied_command_actuator_5,mean_abs_applied_command_actuator_6,mean_abs_applied_command_actuator_7
nominal,0,104,front_left,0.5,202.8871555744379,187,True,2.4087395170985566,0.2576191996896852,0.11939482952662331,0.11722940988440246,0.17442028666721945,0.18336213302405122,0.16768265058371154,0.20388672208005093,0.23417339256820194,0.21726508000815775,0.11939482952662331,0.11722940988440246,0.08721014333360973,0.09168106651202561,0.16768265058371154,0.20388672208005093,0.23417339256820194,0.21726508000815775
nominal,0,105,front_left,0.5,912.8861316368029,1000,False,4.4170726332646515,0.08834145266529303,0.12168687983974814,0.12305142343882472,0.17469150209799408,0.16912340611033141,0.1843249255400151,0.19984209117107093,0.2619965079156682,0.20196338163129984,0.12168687983974814,0.12305142343882472,0.08734575104899704,0.08456170305516571,0.1843249255400151,0.19984209117107093,0.2619965079156682,0.20196338163129984
nominal,0,106,front_left,0.5,899.180446847961,1000,False,3.3476551733738806,0.06695310346747761,0.11014999924972653,0.12050118964165449,0.17615569092333316,0.16675703377090395,0.18003143811412156,0.20393410221487285,0.24763880627788604,0.20336594517994672,0.11014999924972653,0.12050118964165449,0.08807784546166658,0.08337851688545198,0.18003143811412156,0.20393410221487285,0.24763880627788604,0.20336594517994672
nominal,0,107,front_left,0.5,542.806308946364,538,True,5.205473445301075,0.19351202398888753,0.1154571182776561,0.12622825051813652,0.18388067170645225,0.1591858950904034,0.19590035723487684,0.215234569564711,0.2540696002404486,0.21373783184049241,0.1154571182776561,0.12622825051813652,0.09194033585322613,0.0795929475452017,0.19590035723487684,0.215234569564711,0.2540696002404486,0.21373783184049241
nominal,0,108,front_left,0.5,937.6536337147531,1000,False,5.125512028532318,0.10251024057064637,0.11990259802527725,0.12928004329837858,0.17783983999118208,0.16035326492600144,0.1695005722725764,0.20303965381346642,0.23797787479870022,0.21376097256876528,0.11990259802527725,0.12928004329837858,0.08891991999559104,0.08017663246300072,0.1695005722725764,0.20303965381346642,0.23797787479870022,0.21376097256876528
nominal,0,109,front_left,0.5,228.29209160103096,262,True,0.8607697123371916,0.06570761162879324,0.11578079555468022,0.1281501348450325,0.17725155367124967,0.16478872948276405,0.17979271783856035,0.21879291332518783,0.2715484867270552,0.24174836105560416,0.11578079555468022,0.1281501348450325,0.08862577683562484,0.08239436474138202,0.17979271783856035,0.21879291332518783,0.2715484867270552,0.24174836105560416
robust,0,100,healthy,1.0,48.887628181458034,52,True,0.7054683430652766,0.27133397810202947,0.20671272141715655,0.3101675333813406,0.187011773375651,0.23261829780844542,0.22973707436512297,0.19425098812923983,0.20815490050993574,0.2133345076133712,0.20671272141715655,0.3101675333813406,0.187011773375651,0.23261829780844542,0.22973707436512297,0.19425098812923983,0.20815490050993574,0.2133345076133712
robust,0,101,healthy,1.0,80.49801619583268,147,True,-0.8158113143042944,-0.11099473664004005,0.2029964218334276,0.28995846071261533,0.23478582525486444,0.22008791991642543,0.24547216173286746,0.2090167503956021,0.23208180178894477,0.2343854439337136,0.2029964218334276,0.28995846071261533,0.23478582525486444,0.22008791991642543,0.24547216173286746,0.2090167503956021,0.23208180178894477,0.2343854439337136
robust,0,102,healthy,1.0,196.21454293661557,227,True,2.4370142483612,0.21471491174988544,0.20725594288649013,0.2998328520567669,0.23570528933327103,0.22134541144126837,0.2579888761995385,0.2266621057945201,0.23964196874550853,0.20870554238344474,0.20725594288649013,0.2998328520567669,0.23570528933327103,0.22134541144126837,0.2579888761995385,0.2266621057945201,0.23964196874550853,0.20870554238344474
robust,0,103,healthy,1.0,714.1229762803434,1000,False,1.2556167410207415,0.02511233482041483,0.20514757348224522,0.2680207387842238,0.2230008764397353,0.24920038776472211,0.24115430796518922,0.17773574029840528,0.224035947273951,0.18668697830848396,0.20514757348224522,0.2680207387842238,0.2230008764397353,0.24920038776472211,0.24115430796518922,0.17773574029840528,0.224035947273951,0.18668697830848396
robust,0,104,healthy,1.0,309.1808026971385,240,True,7.54439793689094,0.628699828074245,0.1925733546105524,0.31076905223696183,0.19650894195462268,0.23789915281813592,0.26319657392644635,0.22248942187676826,0.2118999198564173,0.2102660686088105,0.1925733546105524,0.31076905223696183,0.19650894195462268,0.23789915281813592,0.26319657392644635,0.22248942187676826,0.2118999198564173,0.2102660686088105
robust,0,105,healthy,1.0,99.6508644845192,115,True,1.046396379054781,0.18198197896604887,0.188570615714011,0.31786948732383874,0.19103409651180972,0.21707851115776144,0.21787277639884015,0.1911763670651809,0.2140942556783557,0.23135959322199873,0.188570615714011,0.31786948732383874,0.19103409651180972,0.21707851115776144,0.21787277639884015,0.1911763670651809,0.2140942556783557,0.23135959322199873
robust,0,106,healthy,1.0,120.83852195764538,129,True,1.8053605030693423,0.2799008531890453,0.20168961053208787,0.2753983641173257,0.20914134657544683,0.2280017243510531,0.22963894754936992,0.21700352869292563,0.24150180662512893,0.2400336383675882,0.20168961053208787,0.2753983641173257,0.20914134657544683,0.2280017243510531,0.22963894754936992,0.21700352869292563,0.24150180662512893,0.2400336383675882
