policy_training_condition,policy_training_seed,evaluation_seed,damage_leg,damage_alpha,episode_return,episode_length,terminated_before_time_limit,forward_distance,mean_forward_speed,mean_abs_raw_command_actuator_0,mean_abs_raw_command_actuator_1,mean_abs_raw_command_actuator_2,mean_abs_raw_command_actuator_3,mean_abs_raw_command_actuator_4,mean_abs_raw_command_actuator_5,mean_abs_raw_command_actuator_6,mean_abs_raw_command_actuator_7,mean_abs_applied_command_actuator_0,mean_abs_applied_command_actuator_1,mean_abs_applied_command_actuator_2,mean_abs_applied_command_actuator_3,mean_abs_applied_command_actuator_4,mean_abs_applied_command_actuator_5,mean_abs_applied_command_actuator_6,mean_abs_applied_command_actuator_7
robust,1,106,front_right,0.0,-2.81903800611831,16,True,-0.25772042739234374,-0.32215053424042966,0.40049032773822546,0.2691017419565469,0.344297275878489,0.40989035088568926,0.525133685907349,0.313018566230312,0.48133167740888894,0.530726995319128,0.40049032773822546,0.2691017419565469,0.344297275878489,0.40989035088568926,0.0,0.0,0.48133167740888894,0.530726995319128
robust,1,107,front_right,0.0,381.00003906052433,1000,False,7.816822381093938,0.15633644762187876,0.3427629124671221,0.393603410102427,0.38761054597981276,0.43586131718009713,0.39564576085284353,0.3478876036442816,0.5170397790819407,0.4124009772539139,0.3427629124671221,0.393603410102427,0.38761054597981276,0.43586131718009713,0.0,0.0,0.5170397790819407,0.4124009772539139
robust,1,108,front_right,0.0,12.001931165186988,29,True,0.4991123395100414,0.3442154065586492,0.4676739552925373,0.4035730812827061,0.40234399297884826,0.4555164771475669,0.48299008916164266,0.40836041703306397,0.512345859074387,0.4104269606799915,0.4676739552925373,0.4035730812827061,0.40234399297884826,0.4555164771475669,0.0,0.0,0.512345859074387,0.4104269606799915
robust,1,109,front_right,0.0,41.7974760161995,42,True,2.043177748561354,0.972941785029216,0.44090847741989864,0.41837601496704985,0.49418942095889223,0.5036620781091707,0.5173172010552316,0.42636206923496156,0.4899420700967312,0.46916002922114874,0.44090847741989864,0.41837601496704985,0.49418942095889223,0.5036620781091707,0.0,0.0,0.4899420700967312,0.46916002922114874
robust,1,100,back_left,0.0,398.21386152929176,1000,False,5.988839551144263,0.11977679102288526,0.3527692803069949,0.4083039889745414,0.42386285785678773,0.41632629829272627,0.4232470948137343,0.3619596055746078,0.5675763017199934,0.4227028640061617,0.3527692803069949,0.4083039889745414,0.42386285785678773,0.41632629829272627,0.4232470948137343,0.3619596055746078,0.0,0.0
robust,1,101,back_left,0.0,156.6917156559796,252,True,6.529999451655104,0.518253924734532,0.3835066552495673,0.4782864719717985,0.49013330481783857,0.40266312541262733,0.5258734737715077,0.42082378960081507,0.57920645053188,0.4192387579629819,0.3835066552495673,0.4782864719717985,0.49013330481783857,0.40266312541262733,0.5258734737715077,0.42082378960081507,0.0,0.0
robust,1,102,back_left,0.0,245.70231329365603,1000,False,-1.1311496022732694,-0.02262299204546539,0.3556599909774959,0.41281601578742266,0.4004719889005646,0.433954731348902,0.4226835054196417,0.3785297294072807,0.5579748403765261,0.4405712962001562,0.3556599909774959,0.41281601578742266,0.4004719889005646,0.433954731348902,0.4226835054196417,0.3785297294072807,0.0,0.0
robust,1,103,back_left,0.0,4.386440648388005,25,True,0.15061164375699831,0.12048931500559865,0.42746393859386445,0.4228446865081787,0.4741420978307724,0.3643210691958666,0.5936081874370575,0.40236140966415407,0.5893585509061814,0.5129575517773628,0.42746393859386445,0.4228446865081787,0.4741420978307724,0.3643210691958666,0.5936081874370575,0.40236140966415407,0.0,0.0
robust,1,104,back_left,0.0,9.001555807421594,249,True,-1.2277207717312821,-0.09861211017921943,0.3718461607953152,0.46001150269046365,0.45092723395555734,0.44732744442710437,0.4482856107254823,0.4469039926387699,0.5904053304957817,0.4423002004922633,0.3718461607953152,0.46001150269046365,0.45092723395555734,0.44732744442710437,0.4482856107254823,0.4469039926387699,0.0,0.0
robust,1,105,back_left,0.0,-6.247046305242166,125,True,-1.4786765200113905,-0.23658824320182248,0.3664729947447777,0.4236844066083431,0.4231298269703984,0.3958057378232479,0.46714597442746164,0.4347877786755562,0.5349030837714672,0.46228504115343094,0.3664729947447777,0.4236844066083431,0.4231298269703984,0.3958057378232479,0.46714597442746164,0.4347877786755562,0.0,0.0
