policy_training_condition,policy_training_seed,tag,environment_steps,value
nominal,5,rollout/ep_rew_mean,1286144,594.1862182617188
nominal,5,rollout/ep_rew_mean,1294336,610.0513305664062
nominal,5,rollout/ep_rew_mean,1302528,637.998046875
nominal,5,rollout/ep_rew_mean,1310720,643.8491821289062
nominal,5,rollout/ep_rew_mean,1318912,593.1602172851562
nominal,5,rollout/ep_rew_mean,1327104,636.25341796875
nominal,5,rollout/ep_rew_mean,1335296,588.49609375
nominal,5,rollout/ep_rew_mean,1343488,577.0708618164062
nominal,5,rollout/ep_rew_mean,1351680,584.10009765625
nominal,5,rollout/ep_rew_mean,1359872,614.1681518554688
nominal,5,rollout/ep_rew_mean,1368064,665.5613403320312
nominal,5,rollout/ep_rew_mean,1376256,706.7998657226562
nominal,5,rollout/ep_rew_mean,1384448,732.3541870117188
nominal,5,rollout/ep_rew_mean,1392640,785.5680541992188
nominal,5,rollout/ep_rew_mean,1400832,795.6074829101562
nominal,5,rollout/ep_rew_mean,1409024,702.9625244140625
nominal,5,rollout/ep_rew_mean,1417216,708.9642944335938
nominal,5,rollout/ep_rew_mean,1425408,612.8041381835938
nominal,5,rollout/ep_rew_mean,1433600,592.4647216796875
nominal,5,rollout/ep_rew_mean,1441792,571.70068359375
nominal,5,rollout/ep_rew_mean,1449984,564.0097045898438
nominal,5,rollout/ep_rew_mean,1458176,598.7548828125
nominal,5,rollout/ep_rew_mean,1466368,633.1260986328125
nominal,5,rollout/ep_rew_mean,1474560,612.8465576171875
nominal,5,rollout/ep_rew_mean,1482752,614.9408569335938
nominal,5,rollout/ep_rew_mean,1490944,631.4237670898438
nominal,5,rollout/ep_rew_mean,1499136,582.2960815429688
nominal,5,rollout/ep_rew_mean,1507328,572.2858276367188
nominal,5,rollout/ep_rew_mean,1515520,585.2382202148438
nominal,5,rollout/ep_rew_mean,1523712,633.3182373046875
nominal,5,rollout/ep_rew_mean,1531904,649.1300048828125
nominal,5,rollout/ep_rew_mean,1540096,671.5213623046875
nominal,5,rollout/ep_rew_mean,1548288,726.3240356445312
nominal,5,rollout/ep_rew_mean,1556480,792.7548217773438
nominal,5,rollout/ep_rew_mean,1564672,830.1803588867188
nominal,5,rollout/ep_rew_mean,1572864,846.6414184570312
nominal,5,rollout/ep_rew_mean,1581056,862.302978515625
nominal,5,rollout/ep_rew_mean,1589248,791.0244750976562
nominal,5,rollout/ep_rew_mean,1597440,798.9312744140625
nominal,5,rollout/ep_rew_mean,1605632,764.8196411132812
nominal,5,rollout/ep_rew_mean,1613824,771.786376953125
nominal,5,rollout/ep_rew_mean,1622016,736.89306640625
nominal,5,rollout/ep_rew_mean,1630208,712.5844116210938
nominal,5,rollout/ep_rew_mean,1638400,789.5496215820312
nominal,5,rollout/ep_rew_mean,1646592,774.1343383789062
nominal,5,rollout/ep_rew_mean,1654784,760.7554931640625
nominal,5,rollout/ep_rew_mean,1662976,779.6101684570312
nominal,5,rollout/ep_rew_mean,1671168,753.2445068359375
nominal,5,rollout/ep_rew_mean,1679360,721.6278076171875
nominal,5,rollout/ep_rew_mean,1687552,792.2197875976562
nominal,5,rollout/ep_rew_mean,1695744,754.1112670898438
nominal,5,rollout/ep_rew_mean,1703936,760.256103515625
nominal,5,rollout/ep_rew_mean,1712128,741.9541015625
nominal,5,rollout/ep_rew_mean,1720320,754.8772583007812
nominal,5,rollout/ep_rew_mean,1728512,823.7484130859375
nominal,5,rollout/ep_rew_mean,1736704,785.6170043945312
nominal,5,rollout/ep_rew_mean,1744896,831.3623657226562
nominal,5,rollout/ep_rew_mean,1753088,851.8988037109375
nominal,5,rollout/ep_rew_mean,1761280,829.7883911132812
nominal,5,rollout/ep_rew_mean,1769472,811.1211547851562
nominal,5,rollout/ep_rew_mean,1777664,795.6453857421875
nominal,5,rollout/ep_rew_mean,1785856,817.8477783203125
nominal,5,rollout/ep_rew_mean,1794048,807.8766479492188
nominal,5,rollout/ep_rew_mean,1802240,810.693603515625
nominal,5,rollout/ep_rew_mean,1810432,851.578369140625
nominal,5,rollout/ep_rew_mean,1818624,858.6348876953125
nominal,5,rollout/ep_rew_mean,1826816,850.1372680664062
nominal,5,rollout/ep_rew_mean,1835008,853.5194091796875
nominal,5,rollout/ep_rew_mean,1843200,909.025634765625
nominal,5,rollout/ep_rew_mean,1851392,955.739501953125
nominal,5,rollout/ep_rew_mean,1859584,944.8511962890625
nominal,5,rollout/ep_rew_mean,1867776,874.865234375
nominal,5,rollout/ep_rew_mean,1875968,917.3435668945312
nominal,5,rollout/ep_rew_mean,1884160,928.85595703125
nominal,5,rollout/ep_rew_mean,1892352,884.2383422851562
nominal,5,rollout/ep_rew_mean,1900544,802.4228515625
nominal,5,rollout/ep_rew_mean,1908736,854.6887817382812
nominal,5,rollout/ep_rew_mean,1916928,865.9879760742188
nominal,5,rollout/ep_rew_mean,1925120,865.546142578125
nominal,5,rollout/ep_rew_mean,1933312,916.8079223632812
nominal,5,rollout/ep_rew_mean,1941504,921.19140625
nominal,5,rollout/ep_rew_mean,1949696,976.2139892578125
nominal,5,rollout/ep_rew_mean,1957888,1028.30322265625
nominal,5,rollout/ep_rew_mean,1966080,931.6463012695312
nominal,5,rollout/ep_rew_mean,1974272,981.0618896484375
nominal,5,rollout/ep_rew_mean,1982464,988.9152221679688
nominal,5,rollout/ep_rew_mean,1990656,970.6292114257812
nominal,5,rollout/ep_rew_mean,1998848,894.8369750976562
nominal,5,rollout/ep_rew_mean,2007040,890.1185302734375
nominal,5,rollout/ep_rew_mean,2015232,883.6049194335938
nominal,5,rollout/ep_rew_mean,2023424,872.3042602539062
nominal,5,rollout/ep_rew_mean,2031616,844.2935180664062
nominal,5,rollout/ep_rew_mean,2039808,776.6177368164062
nominal,5,rollout/ep_rew_mean,2048000,818.8837890625
nominal,5,rollout/ep_rew_mean,2056192,771.093505859375
nominal,5,rollout/ep_rew_mean,2064384,788.0369262695312
nominal,5,rollout/ep_rew_mean,2072576,740.8974609375
nominal,5,rollout/ep_rew_mean,2080768,749.6265869140625
nominal,5,rollout/ep_rew_mean,2088960,765.0928955078125
nominal,5,rollout/ep_rew_mean,2097152,747.8800048828125
nominal,5,rollout/ep_rew_mean,2105344,751.3888549804688
nominal,5,rollout/ep_rew_mean,2113536,819.9906616210938
nominal,5,rollout/ep_rew_mean,2121728,836.7410278320312
nominal,5,rollout/ep_rew_mean,2129920,877.2091064453125
nominal,5,rollout/ep_rew_mean,2138112,912.630126953125
nominal,5,rollout/ep_rew_mean,2146304,949.9237060546875
nominal,5,rollout/ep_rew_mean,2154496,1001.048583984375
nominal,5,rollout/ep_rew_mean,2162688,1045.0228271484375
nominal,5,rollout/ep_rew_mean,2170880,1064.4267578125
nominal,5,rollout/ep_rew_mean,2179072,1025.8638916015625
nominal,5,rollout/ep_rew_mean,2187264,1118.6790771484375
nominal,5,rollout/ep_rew_mean,2195456,1064.2259521484375
nominal,5,rollout/ep_rew_mean,2203648,1077.2159423828125
nominal,5,rollout/ep_rew_mean,2211840,1039.3936767578125
nominal,5,rollout/ep_rew_mean,2220032,1037.0322265625
nominal,5,rollout/ep_rew_mean,2228224,1006.4124755859375
nominal,5,rollout/ep_rew_mean,2236416,1024.4495849609375
nominal,5,rollout/ep_rew_mean,2244608,1039.6578369140625
nominal,5,rollout/ep_rew_mean,2252800,1030.6029052734375
nominal,5,rollout/ep_rew_mean,2260992,1071.99853515625
nominal,5,rollout/ep_rew_mean,2269184,1108.124755859375
nominal,5,rollout/ep_rew_mean,2277376,1104.9927978515625
nominal,5,rollout/ep_rew_mean,2285568,1145.017822265625
nominal,5,rollout/ep_rew_mean,2293760,1167.444091796875
nominal,5,rollout/ep_rew_mean,2301952,1157.6558837890625
nominal,5,rollout/ep_rew_mean,2310144,1125.5843505859375
nominal,5,rollout/ep_rew_mean,2318336,1122.3387451171875
nominal,5,rollout/ep_rew_mean,2326528,1090.4793701171875
nominal,5,rollout/ep_rew_mean,2334720,1055.161865234375
nominal,5,rollout/ep_rew_mean,2342912,1000.6901245117188
nominal,5,rollout/ep_rew_mean,2351104,957.9948120117188
nominal,5,rollout/ep_rew_mean,2359296,900.7054443359375
nominal,5,rollout/ep_rew_mean,2367488,907.2318725585938
nominal,5,rollout/ep_rew_mean,2375680,904.2750244140625
nominal,5,rollout/ep_rew_mean,2383872,859.7335815429688
nominal,5,rollout/ep_rew_mean,2392064,899.7698364257812
nominal,5,rollout/ep_rew_mean,2400256,898.876220703125
nominal,5,rollout/ep_rew_mean,2408448,936.5298461914062
nominal,5,rollout/ep_rew_mean,2416640,969.6102905273438
nominal,5,rollout/ep_rew_mean,2424832,1009.2368774414062
nominal,5,rollout/ep_rew_mean,2433024,992.5217895507812
nominal,5,rollout/ep_rew_mean,2441216,943.8184814453125
nominal,5,rollout/ep_rew_mean,2449408,936.38671875
nominal,5,rollout/ep_rew_mean,2457600,989.0667724609375
nominal,5,rollout/ep_rew_mean,2465792,972.174072265625
nominal,5,rollout/ep_rew_mean,2473984,959.4351806640625
nominal,5,rollout/ep_rew_mean,2482176,910.1731567382812
nominal,5,rollout/ep_rew_mean,2490368,981.5005493164062
